Google service,Service description,Service ID,SKU ID,SKU description,Product taxonomy,Unit description,Per unit quantity,Tiered usage start,List price ($),
Maps,Directions API,B7D9-FDCB-15D8,9407-00C2-CF85,Directions Advanced,Maps Platform > Routes > Directions API > Other,count,1000,0,10.00,
Maps,Directions API,B7D9-FDCB-15D8,9407-00C2-CF85,Directions Advanced,Maps Platform > Routes > Directions API > Other,count,1000,100000,8.00,
Maps,Directions API,B7D9-FDCB-15D8,28A8-3EB4-4595,Directions,Maps Platform > Routes > Directions API > Other,count,1000,0,5.00,
Maps,Directions API,B7D9-FDCB-15D8,28A8-3EB4-4595,Directions,Maps Platform > Routes > Directions API > Other,count,1000,100000,4.00,
Maps,Distance Matrix API,E1D8-71A6-53DE,DFAE-763F-CF6E,Distance Matrix Advanced,Maps Platform > Routes > Distance Matrix API > Other,count,1000,0,10.00,
Maps,Distance Matrix API,E1D8-71A6-53DE,DFAE-763F-CF6E,Distance Matrix Advanced,Maps Platform > Routes > Distance Matrix API > Other,count,1000,100000,8.00,
Maps,Distance Matrix API,E1D8-71A6-53DE,C1B6-FF9D-7700,Distance Matrix,Maps Platform > Routes > Distance Matrix API > Other,count,1000,0,5.00,
Maps,Distance Matrix API,E1D8-71A6-53DE,C1B6-FF9D-7700,Distance Matrix,Maps Platform > Routes > Distance Matrix API > Other,count,1000,100000,4.00,
Maps,Maps Elevation API,11F2-A380-6357,B43B-2A59-C153,Elevation,Maps Platform > Places > Elevation API > Backend,count,1000,0,5.00,
Maps,Maps Elevation API,11F2-A380-6357,B43B-2A59-C153,Elevation,Maps Platform > Places > Elevation API > Backend,count,1000,100000,4.00,
Maps,Geocoding API,0AC2-4B25-C429,BAC8-4E68-E261,Geocoding,Maps Platform > Places > Geocoding API > Backend,count,1000,0,5.00,
Maps,Geocoding API,0AC2-4B25-C429,BAC8-4E68-E261,Geocoding,Maps Platform > Places > Geocoding API > Backend,count,1000,100000,4.00,
Maps,Geolocation API,0245-C3C9-3864,51AF-D64F-9ABD,Geolocation,Maps Platform > Places > Geolocation API > Backend,count,1000,0,5.00,
Maps,Geolocation API,0245-C3C9-3864,51AF-D64F-9ABD,Geolocation,Maps Platform > Places > Geolocation API > Backend,count,1000,100000,4.00,
Maps,Google Maps Mobile SDK,50C8-D359-64EA,C3B5-EBC3-E06C,Map Loads,Maps Platform > Maps > Maps and Street View API > Other,count,1,0,0.00,
Maps,Roads API,3679-7487-549C,6108-C697-9EA5,Roads - Nearest Road,Maps Platform > Routes > Roads API > Other,count,1000,0,10.00,
Maps,Roads API,3679-7487-549C,6108-C697-9EA5,Roads - Nearest Road,Maps Platform > Routes > Roads API > Other,count,1000,100000,8.00,
Maps,Roads API,3679-7487-549C,9806-C277-BCCA,Roads - Route Traveled,Maps Platform > Routes > Roads API > Other,count,1000,0,10.00,
